Voltage,k_rad_per_s_per,Tm_s,ke_V_s_per_rad,km_N_m_per_A
-100,0.183521553894369,0.0911927540237899,0.490405612257413,0.334291573454165
-80,0.182239849825053,0.0935281683500748,0.4938546650823,0.323667879711421
-60,0.178480642166138,0.0758704499354978,0.504256365887702,0.390766336660018
-40,0.173253793607393,0.0708263384693236,0.519469144808149,0.406337257894591
-20,0.157772936181405,0.0633822711514241,0.570440039833697,0.413488460672914
20,0.165152564009272,0.065608720712642,0.544950667523074,0.418140692463509
40,0.18287568817107,0.0747097659856683,0.492137587560627,0.406609274658054
60,0.188893726026727,0.0783841284089023,0.476458386909398,0.400302297788308
80,0.192766442303441,0.0883255186494587,0.466886242877937,0.36252997328034
100,0.196724641722418,0.104564431913951,0.457492255225411,0.312516868511637
